PREDICTED_COLOR_2_HOURS,ACTUAL_COLOR,PROBABILITY_COLOR_2_HOURS
Orange/Red,Orange/Red,0.694
Green/Yellow,Green/Yellow,0.058
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.114
Green/Yellow,Green/Yellow,0.144
Green/Yellow,Green/Yellow,0.002
Orange/Red,Green/Yellow,0.642
Green/Yellow,Green/Yellow,0.002
Green/Yellow,Green/Yellow,0.078
Orange/Red,Green/Yellow,0.574
Green/Yellow,Green/Yellow,0.066
Green/Yellow,Green/Yellow,0.058
Green/Yellow,Green/Yellow,0.426
Green/Yellow,Green/Yellow,0.078
Green/Yellow,Green/Yellow,0.002
Green/Yellow,Green/Yellow,0.006
Green/Yellow,Green/Yellow,0.154
Green/Yellow,Green/Yellow,0.096
Green/Yellow,Green/Yellow,0.082
Green/Yellow,Green/Yellow,0.058
Orange/Red,Orange/Red,0.684
Orange/Red,Green/Yellow,0.868
Orange/Red,Green/Yellow,0.546
Green/Yellow,Green/Yellow,0.206
Orange/Red,Green/Yellow,0.844
Green/Yellow,Green/Yellow,0.006
Green/Yellow,Green/Yellow,0.242
Orange/Red,Orange/Red,0.874
Green/Yellow,Green/Yellow,0.03
Green/Yellow,Green/Yellow,0
Orange/Red,Green/Yellow,0.638
Green/Yellow,Green/Yellow,0.226
Green/Yellow,Green/Yellow,0.446
Green/Yellow,Green/Yellow,0.068
Green/Yellow,Green/Yellow,0.066
Green/Yellow,Green/Yellow,0.378
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0
Orange/Red,Orange/Red,0.698
Green/Yellow,Green/Yellow,0.396
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.15
Green/Yellow,Green/Yellow,0.116
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.376
Orange/Red,Orange/Red,0.636
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.054
Green/Yellow,Green/Yellow,0.392
Green/Yellow,Green/Yellow,0.238
Green/Yellow,Green/Yellow,0.032
Orange/Red,Green/Yellow,0.596
Green/Yellow,Green/Yellow,0.014
Green/Yellow,Green/Yellow,0.49
Green/Yellow,Green/Yellow,0.04
Green/Yellow,Green/Yellow,0.034
Green/Yellow,Green/Yellow,0.422
Green/Yellow,Green/Yellow,0.024
Orange/Red,Orange/Red,0.97
Green/Yellow,Green/Yellow,0
Orange/Red,Orange/Red,0.9
Green/Yellow,Green/Yellow,0.002
Green/Yellow,Green/Yellow,0.062
Green/Yellow,Green/Yellow,0.058
Green/Yellow,Green/Yellow,0.088
Green/Yellow,Green/Yellow,0.012
Orange/Red,Green/Yellow,0.516
Green/Yellow,Green/Yellow,0.002
Green/Yellow,Green/Yellow,0.034
Orange/Red,Green/Yellow,0.582
Green/Yellow,Green/Yellow,0.444
Green/Yellow,Green/Yellow,0.032
Orange/Red,Orange/Red,0.648
Orange/Red,Green/Yellow,0.928
Green/Yellow,Green/Yellow,0.166
Green/Yellow,Green/Yellow,0.032
Green/Yellow,Green/Yellow,0.088
Green/Yellow,Green/Yellow,0.254
Green/Yellow,Green/Yellow,0.07
Green/Yellow,Green/Yellow,0.274
Green/Yellow,Green/Yellow,0.156
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.32
Green/Yellow,Green/Yellow,0.35
Green/Yellow,Green/Yellow,0.076
Orange/Red,Green/Yellow,0.624
Green/Yellow,Green/Yellow,0.002
Green/Yellow,Green/Yellow,0.034
Green/Yellow,Green/Yellow,0.01
Green/Yellow,Orange/Red,0.152
Orange/Red,Green/Yellow,0.546
Green/Yellow,Green/Yellow,0.228
Green/Yellow,Green/Yellow,0.008
Green/Yellow,Green/Yellow,0.184
Green/Yellow,Green/Yellow,0.244
Orange/Red,Orange/Red,0.726
Orange/Red,Green/Yellow,0.63
Green/Yellow,Green/Yellow,0.448
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.058
Green/Yellow,Green/Yellow,0.42
Green/Yellow,Green/Yellow,0.284
Green/Yellow,Green/Yellow,0.178
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.004
Orange/Red,Green/Yellow,0.502
Green/Yellow,Green/Yellow,0.046
Green/Yellow,Green/Yellow,0.002
Green/Yellow,Green/Yellow,0.35
Green/Yellow,Green/Yellow,0.156
Green/Yellow,Green/Yellow,0.02
Green/Yellow,Green/Yellow,0.144
Orange/Red,Green/Yellow,0.676
Orange/Red,Green/Yellow,0.828
Green/Yellow,Green/Yellow,0.17
Green/Yellow,Green/Yellow,0.102
Green/Yellow,Green/Yellow,0.012
Green/Yellow,Green/Yellow,0.002
Green/Yellow,Green/Yellow,0.09
Green/Yellow,Green/Yellow,0.176
Green/Yellow,Green/Yellow,0.12
Green/Yellow,Green/Yellow,0.006
Green/Yellow,Green/Yellow,0.388
Orange/Red,Green/Yellow,0.898
Green/Yellow,Green/Yellow,0.044
Green/Yellow,Green/Yellow,0.038
Orange/Red,Green/Yellow,0.74
Orange/Red,Green/Yellow,0.678
Green/Yellow,Green/Yellow,0
Orange/Red,Orange/Red,0.936
Green/Yellow,Green/Yellow,0.15
Green/Yellow,Green/Yellow,0
Orange/Red,Green/Yellow,0.572
Green/Yellow,Green/Yellow,0.018
Green/Yellow,Green/Yellow,0.448
Orange/Red,Green/Yellow,0.784
Green/Yellow,Green/Yellow,0.092
Orange/Red,Green/Yellow,0.814
Green/Yellow,Green/Yellow,0.006
Green/Yellow,Green/Yellow,0.02
Green/Yellow,Green/Yellow,0.048
Green/Yellow,Green/Yellow,0.19
Orange/Red,Green/Yellow,0.6
Green/Yellow,Green/Yellow,0.346
Green/Yellow,Green/Yellow,0.21
Green/Yellow,Green/Yellow,0
Orange/Red,Green/Yellow,0.524
Orange/Red,Green/Yellow,0.742
Orange/Red,Green/Yellow,0.682
Green/Yellow,Green/Yellow,0.392
Orange/Red,Green/Yellow,0.936
Green/Yellow,Green/Yellow,0.024
Green/Yellow,Green/Yellow,0.012
Green/Yellow,Green/Yellow,0.276
Green/Yellow,Green/Yellow,0.266
Green/Yellow,Green/Yellow,0.424
Green/Yellow,Green/Yellow,0.394
Green/Yellow,Green/Yellow,0.24
Orange/Red,Orange/Red,0.676
Green/Yellow,Orange/Red,0.416
Green/Yellow,Green/Yellow,0.098
Orange/Red,Green/Yellow,0.536
Green/Yellow,Green/Yellow,0.058
Green/Yellow,Green/Yellow,0.002
Green/Yellow,Green/Yellow,0.16
Green/Yellow,Green/Yellow,0.016
Green/Yellow,Green/Yellow,0.014
Green/Yellow,Green/Yellow,0.064
Orange/Red,Green/Yellow,0.62
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.004
Green/Yellow,Green/Yellow,0.418
Green/Yellow,Green/Yellow,0.234
Green/Yellow,Green/Yellow,0.048
Green/Yellow,Green/Yellow,0.004
Orange/Red,Green/Yellow,0.604
Orange/Red,Green/Yellow,0.686
Orange/Red,Orange/Red,0.932
Green/Yellow,Green/Yellow,0.02
Orange/Red,Green/Yellow,0.538
Green/Yellow,Green/Yellow,0.312
Green/Yellow,Green/Yellow,0.078
Orange/Red,Green/Yellow,0.73
Green/Yellow,Green/Yellow,0.046
Green/Yellow,Green/Yellow,0.026
Green/Yellow,Green/Yellow,0.324
Green/Yellow,Green/Yellow,0.018
Green/Yellow,Green/Yellow,0.028
Green/Yellow,Green/Yellow,0.086
Green/Yellow,Green/Yellow,0.116
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.054
Green/Yellow,Green/Yellow,0.028
Green/Yellow,Green/Yellow,0.172
